 LogUV	Log(OIII+Hb)
44.241123	42.972374
44.216557	42.779007
44.02924	43.056168
43.83271	42.482506
43.79893	42.708103
44.023098	42.52118
43.74366	42.824123
43.765152	42.74033
43.774364	42.617863
43.786648	42.47606
43.765152	42.43094
43.73752	42.450275
43.70374	42.701656
43.694527	42.617863
43.682243	42.1151
43.682243	42.514732
43.657677	42.121548
43.587048	42.37293
43.614685	42.553406
43.608543	42.61142
43.611614	42.720993
43.620827	42.927258
43.583977	42.927258
43.494926	42.43094
43.54099	42.37293
43.43658	42.514732
43.43658	42.289135
43.399734	42.42449
43.372097	42.47606
43.372097	42.604973
43.497997	42.998158
43.390522	42.791897
43.319893	42.753223
43.2769	42.74033
43.264618	42.559853
43.301468	42.41805
43.26769	42.47606
43.230843	42.57919
43.197063	42.57919
43.166355	42.901474
43.151	42.559853
43.086514	42.9337
43.17864	42.31492
43.15407	42.14733
43.129505	42.037754
43.080376	42.360035
43.043526	42.30847
43.01589	41.87661
42.966755	41.86372
42.883846	42.559853
42.963684	42.14733
42.794792	42.082874
42.81936	42.443832
42.73338	42.379375
42.66889	42.20534
42.650467	42.27624
