 LogUV	Log(OIII+Hb)
44.689453	43.455803
44.572765	43.765194
44.431507	43.64917
44.471428	43.28177
44.36088	43.494476
44.256474	43.21731
44.247265	43.08195
44.327103	42.998158
44.44379	42.991714
44.262615	43.816757
44.19506	43.094845
44.182777	42.882137
44.127502	43.030388
43.95554	42.824123
44.106007	43.017494
44.11829	43.03683
44.096794	43.07551
44.078373	43.107735
44.109077	43.20442
44.08758	43.210865
44.056877	43.243095
44.020027	43.268875
43.878773	43.17864
43.878773	43.088398
43.946327	42.90792
43.940186	42.856354
44.016956	42.824123
44.023098	42.96593
44.08451	42.695213
44.08451	42.546963
44.016956	42.59208
43.96168	42.62431
43.96168	42.675877
43.934044	42.62431
43.891056	42.62431
43.841923	42.68232
43.841923	42.71455
43.96168	42.456722
43.91255	42.398712
43.915623	42.21179
44.03538	42.353592
43.841923	42.38582
43.79893	42.302025
43.76208	42.1151
43.70681	42.437386
43.660748	42.289135
43.660748	42.53407
43.59933	42.37293
43.725235	42.71455
43.66382	42.701656
43.620827	42.701656
43.63311	42.77256
43.645393	42.8628
43.657677	42.96593
43.611614	42.90792
43.51028	42.940147
43.488785	42.998158
43.556343	43.139965
43.522564	43.19153
43.62697	43.59116
43.335247	43.44291
43.418156	42.701656
43.43965	42.701656
43.455006	42.630756
43.458076	42.540516
43.488785	42.540516
43.497997	42.66943
43.46422	42.74033
43.292255	42.59208
43.27383	42.334255
43.233913	42.32781
43.132576	42.36648
42.957542	42.701656
42.85928	42.572742
42.886917	42.244015
