Log_Mass,Log_Rad,err_Log_Rad
9.82,0.51,0.20
10.05,0.68,0.20
9.61,0.64,0.20
9.81,0.78,0.20
10.18,0.77,0.20
10.05,0.96,0.20
9.58,0.72,0.20
9.31,0.72,0.20
9.73,0.79,0.20
10.28,0.93,0.20
8.81,0.52,0.20
9.04,0.30,-0.30
9.54,0.54,0.20
9.43,0.59,0.20
9.17,0.58,0.20
9.73,0.73,0.20
9.77,0.63,0.20
9.98,0.72,0.20
9.48,0.30,-0.30
9.45,0.54,0.20
9.63,0.40,0.20
9.05,0.54,0.20
9.84,0.68,0.20
9.75,0.55,0.20
9.46,0.56,0.20
8.92,0.49,0.20
9.14,0.30,-0.30
9.42,0.44,0.20
9.00,0.30,-0.30
9.78,0.40,0.20
9.91,0.69,0.20
9.40,0.37,0.20
9.32,0.35,0.20
9.36,0.47,0.20
9.22,0.41,0.20
9.35,0.49,0.20
10.59,1.17,0.20
9.32,0.69,0.20
9.73,0.37,0.20
9.70,0.42,0.20
9.40,0.30,-0.30
9.84,0.56,0.20
8.85,0.50,0.20
9.27,0.37,0.20
9.00,0.37,0.20
9.02,0.30,-0.30
9.03,0.52,0.20
9.03,0.51,0.20
9.43,0.64,0.20
10.72,1.00,0.20
9.61,0.47,0.20
9.62,0.55,0.20
9.50,0.42,0.20
9.91,0.67,0.20
9.94,0.64,0.20
9.58,0.61,0.20
8.96,0.67,0.20
9.29,0.59,0.20
8.87,0.52,0.20
9.56,0.69,0.20
9.32,0.57,0.20
10.37,1.08,0.20
9.58,0.64,0.20
10.02,0.62,0.20
9.01,0.30,-0.30
9.71,0.47,0.20
8.78,0.34,0.20
9.78,0.93,0.20
10.14,0.75,0.20
9.56,0.89,0.20
9.75,0.42,0.20
10.08,0.68,0.20
9.44,0.35,0.20
10.01,0.89,0.20
9.37,0.64,0.20
8.88,0.41,0.20
9.67,0.66,0.20
9.28,0.37,0.20
9.17,0.68,0.20
9.96,0.71,0.20
8.99,0.36,0.20
9.26,0.53,0.20
9.10,0.59,0.20
9.12,0.71,0.20
9.84,0.52,0.20
9.36,0.72,0.20
9.88,0.79,0.20
10.01,0.69,0.20
9.34,0.50,0.20
10.06,0.76,0.20
9.02,0.32,0.20
8.86,0.35,0.20
9.76,0.81,0.20
8.99,0.30,-0.30
9.72,0.49,0.20
10.16,0.74,0.20
9.38,0.63,0.20
9.52,0.59,0.20
9.26,0.48,0.20
10.03,0.66,0.20
10.63,1.07,0.20
9.73,0.85,0.20
8.75,0.31,0.20
10.31,0.87,0.20
9.62,0.48,0.20
9.80,1.12,0.20
9.77,0.57,0.20
9.46,0.30,-0.30
9.45,0.71,0.20
10.14,0.94,0.20
10.09,0.89,0.20
9.70,0.55,0.20
9.53,0.30,-0.30
10.07,0.76,0.20
9.15,0.84,0.20
10.04,0.68,0.20
9.62,0.55,0.20
10.05,0.66,0.20
10.24,0.78,0.20
9.49,0.30,-0.30
9.69,0.61,0.20
9.41,0.30,-0.30
9.17,0.65,0.20
9.39,0.46,0.20
9.18,0.35,0.20
9.13,0.58,0.20
10.27,0.81,0.20
9.64,0.56,0.20
9.44,0.54,0.20
9.15,0.50,0.20
8.95,0.49,0.20
10.01,1.02,0.20
9.11,0.61,0.20
9.33,0.61,0.20
10.02,0.70,0.20
9.79,0.88,0.20
9.72,0.64,0.20
9.50,0.81,0.20
9.04,0.55,0.20
9.03,0.34,0.20
9.97,0.95,0.20
9.24,0.72,0.20
9.35,0.33,0.20
9.80,0.79,0.20
9.93,0.92,0.20
9.36,0.77,0.20
9.56,1.01,0.20
9.49,0.51,0.20
9.89,0.81,0.20
9.08,0.47,0.20
10.32,0.88,0.20
9.64,0.51,0.20
9.19,0.57,0.20
9.44,0.34,0.20
10.07,0.74,0.20
9.96,0.95,0.20
9.99,0.95,0.20
9.85,0.46,0.20
10.09,0.72,0.20
9.92,0.79,0.20
10.24,0.88,0.20
9.58,0.60,0.20
8.91,0.43,0.20
9.56,0.74,0.20
9.03,0.58,0.20
9.27,0.30,-0.30
9.71,0.48,0.20
9.69,0.79,0.20
10.02,0.88,0.20
9.52,0.74,0.20
9.72,0.58,0.20
9.51,0.57,0.20
9.70,0.68,0.20
8.84,0.30,0.20
8.93,0.62,0.20
