  T90    e_T90
5.376  2.360
40.192  1.145
59.649 11.276
7.872  0.272
36.609  2.985
16.128 17.887
16.128 17.887
58.369  1.985
0.192  0.345
42.817  0.659
379.397  2.202
25.920  1.208
0.960  1.292
89.089  6.476
17.408  6.229
13.312  4.222
0.576  0.091
26.240  1.691
501.830  6.476
24.704  1.460
29.440  3.566
65.665 14.676
2.304  0.453
75.777  4.185
19.072  0.181
4.352  0.832
17.728  1.489
211.970  6.557
28.160  2.896
107.457 15.413
15.040  0.462
0.832  0.320
64.769  1.810
4.608  0.453
60.289  0.466
4.416  0.363
59.329  8.749
13.376  0.410
5.888  0.264
43.457  1.717
7.424  2.005
20.992  0.231
3.008  3.329
7.680  0.377
40.896  5.069
0.576  1.168
74.497  1.243
17.344  1.385
0.960  0.345
26.624  2.896
105.984  6.802
2.875  0.767
16.384  2.896
41.217  7.281
62.977  0.810
46.337  7.173
0.512  0.405
113.921  3.125
39.937  4.222
31.744  3.167
45.313  3.083
14.336  4.007
50.177  3.692
6.400  0.923
3.328  1.305
150.015 12.892
41.345  0.264
176.191  2.127
1.216  1.748
30.721  5.615
28.416  2.757
26.112  3.974
17.152  3.727
0.832  1.282
56.065  2.064
0.640  0.264
22.528  0.724
13.312  1.280
9.984  9.051
0.128  0.091
8.256  0.889
1.728  0.231
34.817  2.415
1.280  1.368
1.664  0.234
58.369  5.221
11.776  2.573
0.576  1.350
0.320  0.653
20.736  1.379
0.320  0.680
25.344  0.923
41.985  8.510
23.296  2.111
0.192  0.091
19.456  1.086
9.280  0.607
54.145  0.923
62.657  7.318
2.240  1.002
45.569  3.908
7.424  1.846
0.192  0.286
24.576  5.724
7.936  4.382
22.528  2.919
97.282  2.347
0.192  0.143
0.256  0.286
5.568  0.143
7.680  2.064
0.768  0.429
29.696 12.892
29.697  0.410
18.880  2.318
0.576  0.143
16.448  1.159
41.217  5.667
0.832  1.032
65.793  1.619
0.192  0.143
0.768  0.724
0.768  0.724
0.512  0.272
28.736  2.611
108.802  1.619
26.624  0.810
18.432  2.896
0.704  0.143
0.192  0.143
1.728  0.820
58.369  4.783
14.080  5.126
17.408  3.238
27.264  1.286
75.777  3.238
15.552  4.580
1.856  0.181
5.632  0.810
0.960  0.231
16.640  3.328
35.073  1.056
12.608  0.345
0.320  0.143
24.832  3.899
20.224  6.192
33.280  0.724
0.448  0.272
17.408  3.238
2.176  2.833
16.189  0.831
1.280  1.026
0.448  0.143
7.936  1.379
23.296  2.064
2.816  0.923
1.856  0.580
27.904 14.857
29.440  1.810
1.664  0.286
56.513  5.146
116.930  1.056
10.240  1.557
54.785  2.202
2.368  0.272
7.936  1.296
29.184  4.536
135.170  1.448
16.128  3.208
14.080  1.379
61.697  1.810
0.192  1.032
73.473  1.717
0.832  0.143
14.848  1.846
0.448  1.498
30.337  2.796
21.501  3.237
14.336  1.086
0.896  0.264
32.513  4.360
0.320  0.405
166.915 11.723
9.216  0.362
7.168  2.415
14.144  0.264
75.393  2.450
16.128  5.152
7.488  2.496
1.024  0.362
12.288  1.280
3.968  1.506
31.489 11.846
14.336  4.007
0.640  0.466
66.048  1.619
283.844  2.463
0.960  0.138
7.424  1.717
7.616  1.605
25.280  7.146
11.776  2.064
43.521  1.739
  2.240  0.286
 54.401  4.077
118.018  4.028
123.074  2.896
 14.464  3.093
  2.048  0.410
  6.784  1.000
 91.329  3.692
 74.177  5.177
  0.768  0.834
  3.776  0.923
 30.657  0.859
 20.288  6.262
 54.337  0.870
 35.905  2.187
 79.041  1.088
  3.072  0.362
  9.853  0.179
127.554  1.319
  0.768  0.231
 20.736  7.209
  8.064  1.262
 21.504  2.290
  6.144  8.136
144.896  3.367
  7.424  1.639
 42.433  2.888
  1.152  1.168
  0.192  0.143
112.386  1.086
 13.568  0.724
  0.960  0.272
106.754 14.373
 27.008  6.136
 26.112  5.655
  0.384  1.032
 47.105  2.573
  7.168  3.114
 14.336  0.923
 11.776  2.673
 48.897  2.828
 48.897  2.828
 20.480  4.762
  2.880  0.320
  4.160  0.692
  8.960  1.864
 69.889  5.724
 19.456  2.064
119.810  5.030
 21.248  3.167
 22.272  9.230
 51.969  2.560
 87.041  7.799
 82.817  2.318
 65.537  1.557
  0.384  0.181
 76.481  3.416
 23.744  0.802
 11.392  0.466
  3.712  0.724
 10.752  1.056
 13.760  1.229
  7.680  0.724
  9.088  1.680
  0.128  0.091
 27.520  6.192
  5.568  0.362
 46.592  2.318
 17.920  2.757
 11.008  0.320
123.458  1.747
 62.977 11.865
 14.848  1.145
  7.552  0.362
  0.192  0.143
108.610  8.816
 48.385  1.086
 56.321 18.461
212.992  1.950
 52.417 10.657
  0.192  0.202
 12.416  0.181
 15.296  4.610
 63.361  4.545
 59.905 10.014
  8.704  2.862
 68.417  3.167
 67.585  2.896
101.633  2.290
